?_MCP (°),?_PIP (°),?_DIP (°)
-36.256,-34.82010206,-36.51146779
-36.257,-34.82091616,-36.51232144
-36.258,-34.82173019,-36.51317503
-36.259,-34.82254427,-36.51402865
-36.26,-34.82335828,-36.51488223
-36.261,-34.82417233,-36.51573583
-36.262,-34.82498632,-36.51658939
-36.263,-34.82580036,-36.51744297
-36.264,-34.82661433,-36.5182965
-36.265,-34.82742835,-36.51915006
-36.266,-34.8282423,-36.52000357
-36.267,-34.82905629,-36.52085711
-36.268,-34.82987022,-36.5217106
-36.269,-34.8306842,-36.52256412
-36.27,-34.83149811,-36.52341759
-36.271,-34.83231206,-36.52427109
-36.272,-34.83312595,-36.52512454
-36.273,-34.83393989,-36.52597801
-36.274,-34.83475376,-36.52683144
-36.275,-34.83556767,-36.52768489
-36.276,-34.83638152,-36.5285383
-36.277,-34.83719542,-36.52939173
-36.278,-34.83800925,-36.53024512
-36.279,-34.83882312,-36.53109853
-36.28,-34.83963693,-36.5319519
-36.281,-34.84045079,-36.53280529
-36.282,-34.84126457,-36.53365863
-36.283,-34.84207841,-36.534512
-36.284,-34.84289218,-36.53536532
-36.285,-34.84370599,-36.53621867
-36.286,-34.84451974,-36.53707197
-36.287,-34.84533354,-36.5379253
-36.288,-34.84614727,-36.53877858
-36.289,-34.84696104,-36.53963189
-36.29,-34.84777475,-36.54048515
-36.291,-34.8485885,-36.54133843
-36.292,-34.84940219,-36.54219167
-36.293,-34.85021593,-36.54304493
-36.294,-34.85102959,-36.54389815
-36.295,-34.85184331,-36.54475139
-36.296,-34.85265696,-36.54560459
-36.297,-34.85347065,-36.54645781
-36.298,-34.85428428,-36.54731099
-36.299,-34.85509795,-36.54816419
-36.3,-34.85591156,-36.54901734
-36.301,-34.85672521,-36.54987052
-36.302,-34.8575388,-36.55072366
-36.303,-34.85835244,-36.55157681
-36.304,-34.859166,-36.55242993
-36.305,-34.85997962,-36.55328306
-36.306,-34.86079316,-36.55413615
-36.307,-34.86160676,-36.55498927
-36.308,-34.86242029,-36.55584234
-36.309,-34.86323386,-36.55669543
-36.31,-34.86404737,-36.55754848
-36.311,-34.86486092,-36.55840156
-36.312,-34.86567441,-36.55925458
-36.313,-34.86648794,-36.56010764
-36.314,-34.86730141,-36.56096064
-36.315,-34.86811492,-36.56181367
-36.316,-34.86892837,-36.56266666
-36.317,-34.86974186,-36.56351967
-36.318,-34.87055529,-36.56437264
-36.319,-34.87136876,-36.56522562
-36.32,-34.87218217,-36.56607857
-36.321,-34.87299562,-36.56693154
-36.322,-34.87380901,-36.56778446
-36.323,-34.87462244,-36.56863741
-36.324,-34.8754358,-36.56949031
-36.325,-34.87624922,-36.57034323
-36.326,-34.87706256,-36.57119611
-36.327,-34.87787595,-36.57204902
-36.328,-34.87868928,-36.57290188
-36.329,-34.87950265,-36.57375476
-36.33,-34.88031596,-36.5746076
-36.331,-34.88112931,-36.57546046
-36.332,-34.8819426,-36.57631328
-36.333,-34.88275593,-36.57716612
-36.334,-34.88356919,-36.57801891
-36.335,-34.88438251,-36.57887173
-36.336,-34.88519575,-36.57972451
-36.337,-34.88600904,-36.58057731
-36.338,-34.88682227,-36.58143006
-36.339,-34.88763554,-36.58228284
-36.34,-34.88844875,-36.58313557
-36.341,-34.889262,-36.58398833
-36.342,-34.89007518,-36.58484104
-36.343,-34.89088841,-36.58569378
-36.344,-34.89170158,-36.58654647
-36.345,-34.89251479,-36.58739918
-36.346,-34.89332793,-36.58825185
-36.347,-34.89414113,-36.58910454
-36.348,-34.89495425,-36.58995719
-36.349,-34.89576742,-36.59080986
-36.35,-34.89658052,-36.59166249
-36.351,-34.89739368,-36.59251514
-36.352,-34.89820676,-36.59336775
-36.353,-34.89901989,-36.59422038
-36.354,-34.89983295,-36.59507296
-36.355,-34.90064607,-36.59592557
-36.356,-34.90145911,-36.59677814
-36.357,-34.9022722,-36.59763072
-36.358,-34.90308522,-36.59848327
-36.359,-34.90389829,-36.59933583
-36.36,-34.9047113,-36.60018835
-36.361,-34.90552435,-36.6010409
-36.362,-34.90633733,-36.6018934
-36.363,-34.90715036,-36.60274592
-36.364,-34.90796332,-36.6035984
-36.365,-34.90877633,-36.60445091
-36.366,-34.90958928,-36.60530336
-36.367,-34.91040227,-36.60615585
-36.368,-34.91121519,-36.60700828
-36.369,-34.91202816,-36.60786074
-36.37,-34.91284106,-36.60871316
-36.371,-34.91365401,-36.6095656
-36.372,-34.9144669,-36.610418
-36.373,-34.91527982,-36.61127041
-36.374,-34.91609269,-36.61212279
-36.375,-34.9169056,-36.61297519
-36.376,-34.91771844,-36.61382754
-36.377,-34.91853133,-36.61467991
-36.378,-34.91934415,-36.61553225
-36.379,-34.92015702,-36.6163846
-36.38,-34.92096982,-36.61723691
-36.381,-34.92178267,-36.61808925
-36.382,-34.92259545,-36.61894153
-36.383,-34.92340828,-36.61979385
-36.384,-34.92422104,-36.62064612
-36.385,-34.92503385,-36.62149841
